31 0 8154222587 0 100.0 TestRun
31 0 75140156 1 99.0 TestRun
31 0 383980577 2 98.0 TestRun
31 0 4831668435 3 97.0 TestRun
31 0 7243172772 4 96.0 TestRun
31 0 8154241312 5 95.0 TestRun
31 0 8557614462 6 94.0 TestRun
31 0 8154212565 7 93.0 TestRun
31 0 3310452518 8 92.0 TestRun
31 0 7088571503 9 91.0 TestRun
31 0 3311116388 10 90.0 TestRun
31 0 3309627479 11 89.0 TestRun
31 0 4832260024 12 88.0 TestRun
31 0 8557492448 13 87.0 TestRun
31 0 7088680333 14 86.0 TestRun
31 0 3480433865 15 85.0 TestRun
31 0 383996941 16 84.0 TestRun
31 0 8154240736 17 83.0 TestRun
31 0 7242863816 18 82.0 TestRun
31 0 4827850371 19 81.0 TestRun
31 0 6926897572 20 80.0 TestRun
31 0 8557537136 21 79.0 TestRun
31 0 6942455322 22 78.0 TestRun
31 0 8154241852 23 77.0 TestRun
31 0 6942537288 24 76.0 TestRun
31 0 7237249704 25 75.0 TestRun
31 0 8557530152 26 74.0 TestRun
31 0 8557548738 27 73.0 TestRun
31 0 3309629591 28 72.0 TestRun
31 0 4832267152 29 71.0 TestRun
31 0 7243263984 30 70.0 TestRun
31 0 6942460366 31 69.0 TestRun
31 0 3310493752 32 68.0 TestRun
31 0 7088580473 33 67.0 TestRun
31 0 75140368 34 66.0 TestRun
31 0 8557545476 35 65.0 TestRun
31 0 8557516730 36 64.0 TestRun
31 0 7566364880 37 63.0 TestRun
31 0 383996596 38 62.0 TestRun
31 0 7088578339 39 61.0 TestRun
31 0 6942458542 40 60.0 TestRun
31 0 7237265484 41 59.0 TestRun
31 0 2039530499 42 58.0 TestRun
31 0 7088573395 43 57.0 TestRun
31 0 4832274230 44 56.0 TestRun
31 0 7072978747 45 55.0 TestRun
31 0 7088532729 46 54.0 TestRun
31 0 383995778 47 53.0 TestRun
31 0 7242883068 48 52.0 TestRun
31 0 3310818376 49 51.0 TestRun
32 0 9140201850 0 100.0 TestRun
32 0 6879143049 1 99.0 TestRun
32 0 5109465127 2 98.0 TestRun
32 0 2338429151 3 97.0 TestRun
32 0 5109456115 4 96.0 TestRun
32 0 2686037307 5 95.0 TestRun
32 0 6194049705 6 94.0 TestRun
32 0 8395563247 7 93.0 TestRun
32 0 2797040344 8 92.0 TestRun
32 0 5110058932 9 91.0 TestRun
32 0 3933091359 10 90.0 TestRun
32 0 6152121699 11 89.0 TestRun
32 0 6182470322 12 88.0 TestRun
32 0 5110137590 13 87.0 TestRun
32 0 1408920593 14 86.0 TestRun
32 0 1414248027 15 85.0 TestRun
32 0 3234918648 16 84.0 TestRun
32 0 5109451037 17 83.0 TestRun
32 0 2796989542 18 82.0 TestRun
32 0 5110135780 19 81.0 TestRun
32 0 3232563310 20 80.0 TestRun
32 0 8395565077 21 79.0 TestRun
32 0 6194516868 22 78.0 TestRun
32 0 2873327695 23 77.0 TestRun
32 0 1414247319 24 76.0 TestRun
32 0 1430485494 25 75.0 TestRun
32 0 5110226852 26 74.0 TestRun
32 0 3015670989 27 73.0 TestRun
32 0 6194566706 28 72.0 TestRun
32 0 3234071647 29 71.0 TestRun
32 0 5920166868 30 70.0 TestRun
32 0 2333245359 31 69.0 TestRun
32 0 2338427857 32 68.0 TestRun
32 0 1414839865 33 67.0 TestRun
32 0 5109461523 34 66.0 TestRun
32 0 3222671967 35 65.0 TestRun
32 0 1414246455 36 64.0 TestRun
32 0 6194497484 37 63.0 TestRun
32 0 3548348454 38 62.0 TestRun
32 0 10238858306 39 61.0 TestRun
32 0 2366977595 40 60.0 TestRun
32 0 1409800278 41 59.0 TestRun
32 0 6182478120 42 58.0 TestRun
32 0 6194489560 43 57.0 TestRun
32 0 3231703849 44 56.0 TestRun
32 0 6193990959 45 55.0 TestRun
32 0 2800341959 46 54.0 TestRun
32 0 448410744 47 53.0 TestRun
32 0 2336017324 48 52.0 TestRun
32 0 1415127800 49 51.0 TestRun
33 0 5116224821 0 100.0 TestRun
33 0 6245813315 1 99.0 TestRun
33 0 4234606819 2 98.0 TestRun
33 0 10582292196 3 97.0 TestRun
33 0 7022977025 4 96.0 TestRun
33 0 3282041949 5 95.0 TestRun
33 0 28655816 6 94.0 TestRun
33 0 5116823834 7 93.0 TestRun
33 0 3494048279 8 92.0 TestRun
33 0 4432125636 9 91.0 TestRun
